Ticker,Date,Open,High,Low,Close,Adj Close,Volume
^DJI,2008-08-12,11781.7002,11782.34961,11601.51953,11642.46973,11642.46973,173590000
^GSPC,2008-08-12,1304.790039,1304.790039,1285.640015,1289.589966,1289.589966,4711290000
GC=F,2008-08-12,826.4000244,826.4000244,803.5999756,808.2000122,808.2000122,99
CL=F,2008-08-12,114.5299988,115.9499969,112.3099976,113.0100021,113.0100021,303791
^NYA,2008-08-13,8398.700195,8410.709961,8292.69043,8375.389648,8375.389648,4787600000
^IXIC,2008-08-13,2424.320068,2443.439941,2404.030029,2428.620117,2428.620117,1995490000
^FTSE,2008-08-13,5534.5,5534.5,5437.100098,5448.600098,5448.600098,1399163100
^NSEI,2008-08-13,4548.049805,4572.649902,4497.25,4529.049805,4529.049805,0
^BSESN,2008-08-13,15030.20996,15272.55957,15013.05957,15093.12012,15093.12012,19200
^N225,2008-08-13,13205.63965,13205.63965,12953.33984,13023.0498,13023.0498,125200000
000001.SS,2008-08-13,2440.524902,2458.769043,2370.737061,2446.297119,2446.297119,41000
^N100,2008-08-13,783.3099976,784.8400269,769.4899902,770.1199951,770.1199951,333631000
^DJI,2008-08-13,11632.80957,11633.78027,11453.33984,11532.95996,11532.95996,182550000
^GSPC,2008-08-13,1288.640015,1294.030029,1274.859985,1285.829956,1285.829956,4787600000
GC=F,2008-08-13,810.9000244,829.0999756,810.9000244,825,825,155
CL=F,2008-08-13,113.0899963,117.4599991,112.8700027,116,116,322967
^NYA,2008-08-14,8375.330078,8412.599609,8303.540039,8385.969727,8385.969727,4064000000
^IXIC,2008-08-14,2414.409912,2461.149902,2414.409912,2453.669922,2453.669922,1835830000
^FTSE,2008-08-14,5448.600098,5539.600098,5445.600098,5497.5,5497.5,1127815700
^NSEI,2008-08-14,4524.200195,4529.799805,4421.25,4430.700195,4430.700195,0
^BSESN,2008-08-14,15017.67969,15033.28027,14686.66016,14724.17969,14724.17969,22000
^N225,2008-08-14,12942.61035,13090.67969,12926.98047,12956.7998,12956.7998,116400000
000001.SS,2008-08-14,2432.197021,2454.250977,2409.01001,2437.082031,2437.082031,31400
^N100,2008-08-14,775.1199951,778.8599854,765.289978,771.7999878,771.7999878,266980600
^DJI,2008-08-14,11532.07031,11718.28027,11450.88965,11615.92969,11615.92969,159790000
^GSPC,2008-08-14,1282.109985,1300.109985,1276.839966,1292.930054,1292.930054,4064000000
GC=F,2008-08-14,831.4000244,831.9000244,805,808.2000122,808.2000122,67
